customer_id,age,region,policy_type,purchase_channel,policy_tenure_years,annual_income,annual_premium,claim_flag,claim_amount,satisfaction_score,renewed
C100041,27,East,Auto,Branch,11,70363,1227.85,1,3838.81,4.4,1
C100042,61,North,Life,Agent,14,78584,2147.26,0,0.0,3.5,1
C100043,58,West,Health,Online,9,18722,1387.55,1,933.21,3.1,0
C100044,38,Central,Auto,Online,0,70216,1102.81,0,0.0,4.2,1
C100045,21,East,Life,Online,1,82296,1640.42,1,1031.93,2.9,1
C100046,74,South,Auto,Partner,7,19671,1678.93,1,990.23,3.4,1
C100047,43,South,Auto,Online,9,43589,792.89,0,0.0,3.1,1
C100048,69,North,Health,Partner,13,36708,1197.12,0,0.0,5.0,1
C100049,57,South,Health,Online,5,69530,1971.74,0,0.0,3.4,1
C100050,63,East,Health,Partner,2,44536,2218.58,0,0.0,4.1,1
C100051,62,East,Life,Agent,2,43818,1933.48,0,0.0,3.9,1
C100052,29,East,Auto,Branch,9,59583,1023.13,0,0.0,4.1,1
C100053,39,Central,Life,Agent,15,80073,2409.75,0,0.0,3.5,1
C100054,45,South,Auto,Branch,1,50890,847.96,0,0.0,3.9,1
C100055,46,North,Auto,Branch,0,43527,1230.62,0,0.0,4.8,1
C100056,20,North,Auto,Online,0,46882,1924.8,1,1339.47,3.6,0
C100057,49,North,Auto,Partner,8,63847,1623.79,0,0.0,3.5,0
C100058,26,East,Health,Agent,5,28035,1037.67,0,0.0,3.3,0
C100059,61,Central,Life,Online,13,51704,2179.48,0,0.0,4.1,1
C100060,57,Central,Home,Online,12,35121,1583.56,0,0.0,3.7,0
C100061,71,West,Home,Agent,8,30346,1711.02,0,0.0,3.5,1
C100062,61,East,Auto,Partner,0,18000,1356.75,0,0.0,3.7,1
C100063,39,North,Life,Branch,9,42730,1750.53,0,0.0,3.3,1
C100064,74,East,Health,Online,5,71417,1748.48,0,0.0,3.9,0
C100065,41,South,Home,Branch,13,18000,1956.15,0,0.0,3.3,1
C100066,36,Central,Home,Online,11,61769,1296.42,0,0.0,4.5,1
C100067,70,East,Auto,Online,15,40321,1116.75,0,0.0,3.2,0
C100068,39,South,Health,Branch,5,32859,1278.22,0,0.0,3.4,0
C100069,22,South,Life,Online,5,58190,1788.88,0,0.0,4.9,1
C100070,45,North,Auto,Agent,7,75590,1938.77,1,3112.99,3.2,1
C100071,64,Central,Home,Online,13,78964,2036.53,0,0.0,3.6,1
C100072,28,North,Life,Online,8,57107,1366.75,0,0.0,3.8,0
C100073,44,North,Health,Online,5,50735,1129.92,0,0.0,4.4,1
C100074,25,North,Health,Online,14,59048,2291.09,0,0.0,3.0,1
C100075,57,Central,Health,Agent,6,96585,1463.14,0,0.0,4.0,1
C100076,45,East,Home,Partner,14,46732,1168.76,0,0.0,2.9,1
C100077,37,West,Health,Online,10,72429,2058.12,0,0.0,4.8,1
C100078,31,South,Health,Partner,1,41337,1074.34,0,0.0,3.4,1
C100079,50,North,Auto,Branch,7,37049,350.0,0,0.0,2.2,0
C100080,56,Central,Life,Online,11,83840,1104.7,0,0.0,4.8,1
C100081,72,South,Life,Online,14,52048,2108.08,0,0.0,4.5,1
C100082,43,North,Health,Online,8,56042,1035.05,0,0.0,3.5,1
C100083,27,East,Life,Branch,0,61845,1711.98,1,3339.55,2.8,1
C100084,66,North,Home,Branch,5,35932,783.9,0,0.0,3.2,1
C100085,54,North,Life,Online,15,44111,1631.93,0,0.0,3.4,1
C100086,58,Central,Auto,Online,7,40443,1345.04,0,0.0,4.2,1
C100087,23,East,Auto,Online,6,57979,1718.57,0,0.0,4.3,1
C100088,36,South,Life,Agent,14,58599,986.02,0,0.0,2.5,1
C100089,62,South,Health,Online,6,41191,1589.63,0,0.0,3.8,1
C100090,66,West,Health,Agent,12,88500,2324.93,1,4025.88,3.7,1
C100091,43,North,Home,Agent,0,51507,1739.71,1,5501.9,2.8,1
C100092,64,North,Health,Branch,9,53850,1432.46,0,0.0,4.3,1
C100093,66,West,Auto,Online,0,76183,1096.85,1,9512.88,2.4,1
C100094,40,West,Health,Agent,2,36251,1626.57,0,0.0,3.3,1
C100095,70,Central,Health,Agent,8,42624,1518.83,0,0.0,4.2,0
C100096,34,South,Auto,Branch,9,57139,1738.52,1,3447.49,3.4,0
C100097,31,North,Auto,Agent,1,25438,1361.48,0,0.0,3.1,1
C100098,57,East,Health,Agent,7,47726,2154.51,0,0.0,4.0,1
C100099,54,West,Home,Online,6,88916,1271.03,0,0.0,3.3,0
C100100,26,North,Health,Branch,7,84922,2254.38,0,0.0,4.3,1
C100101,66,East,Health,Agent,12,68150,1518.37,0,0.0,3.1,1
C100102,29,South,Home,Branch,15,73290,1749.76,0,0.0,4.4,1
C100103,64,Central,Auto,Branch,1,60881,1339.91,0,0.0,4.2,1
C100104,18,Central,Health,Partner,15,44233,2683.53,0,0.0,4.9,1
C100105,64,East,Auto,Partner,0,81584,1669.44,0,0.0,3.4,1
C100106,63,Central,Home,Online,15,34921,1328.05,0,0.0,4.0,1
C100107,63,Central,Auto,Online,9,69432,1386.6,0,0.0,3.2,1
C100108,56,North,Health,Partner,11,42835,1828.16,1,484.63,4.3,1
C100109,45,South,Health,Branch,3,43918,1301.92,1,1655.33,3.3,0
C100110,58,West,Home,Partner,9,61696,1333.82,0,0.0,4.6,0
C100111,34,North,Home,Agent,9,88612,1901.52,0,0.0,4.4,1
C100112,63,South,Life,Partner,5,77716,1680.6,0,0.0,3.7,0
C100113,50,South,Home,Online,8,58098,1183.98,0,0.0,3.9,1
C100114,44,Central,Auto,Agent,15,53132,1467.73,0,0.0,3.7,1
C100115,47,East,Auto,Agent,1,66067,948.88,0,0.0,3.7,0
C100116,50,West,Auto,Online,7,76573,855.64,0,0.0,3.9,1
C100117,20,South,Auto,Online,5,20310,822.35,0,0.0,3.3,0
C100118,26,North,Auto,Online,3,49714,564.34,0,0.0,3.9,0
C100119,32,Central,Health,Online,7,33056,1643.6,1,4937.27,3.9,0
C100120,24,North,Home,Partner,1,48064,1113.0,0,0.0,2.9,0
C100121,43,North,Home,Partner,1,29358,1660.65,0,0.0,4.5,1
C100122,56,South,Auto,Partner,13,19491,1537.35,0,0.0,2.6,0
C100123,55,West,Health,Partner,5,28253,2054.34,0,0.0,4.0,1
C100124,45,South,Auto,Branch,5,42037,1346.51,0,0.0,3.4,1
C100125,67,North,Health,Partner,10,62558,1644.55,0,0.0,3.2,1
C100126,50,South,Health,Online,12,37350,1508.43,0,0.0,3.7,1
C100127,22,South,Auto,Online,13,36417,827.14,0,0.0,3.5,0
C100128,62,North,Auto,Partner,10,59123,1284.85,0,0.0,4.4,1
C100129,51,East,Life,Agent,4,57162,2566.6,1,701.91,2.3,0
C100130,54,North,Health,Branch,4,82639,1154.72,0,0.0,3.1,1
C100131,50,South,Health,Agent,11,68824,1886.53,0,0.0,3.8,1
C100132,50,West,Auto,Online,13,33534,1284.13,0,0.0,3.3,1
C100133,23,West,Auto,Online,14,39930,1123.69,1,6319.48,3.6,1
C100134,50,South,Auto,Branch,13,65437,1126.54,0,0.0,4.0,1
C100135,64,South,Life,Agent,10,36042,1276.72,0,0.0,3.1,1
C100136,35,South,Auto,Agent,2,46162,1426.11,0,0.0,3.1,0
C100137,52,Central,Auto,Agent,6,21212,1727.69,0,0.0,3.0,0
C100138,19,South,Life,Agent,1,28481,992.4,1,2671.88,2.8,1
C100139,38,North,Health,Agent,7,74669,2204.45,0,0.0,4.1,0
C100140,43,East,Auto,Branch,9,55009,1459.68,0,0.0,3.6,1
C100141,74,North,Health,Agent,10,40678,1103.23,0,0.0,3.3,1
C100142,30,North,Health,Partner,3,43207,2745.25,0,0.0,2.8,1
C100143,34,North,Life,Agent,11,82875,1893.41,1,1453.92,3.1,1
C100144,41,West,Auto,Partner,5,40177,652.63,0,0.0,3.5,1
C100145,75,West,Home,Branch,11,60521,1561.12,0,0.0,2.7,1
C100146,67,West,Auto,Partner,14,67686,602.24,0,0.0,3.9,0
C100147,20,West,Home,Branch,4,78009,1765.3,0,0.0,3.1,1
C100148,31,South,Life,Agent,2,36681,1281.01,0,0.0,3.2,1
C100149,65,Central,Life,Agent,15,26810,862.56,0,0.0,3.6,1
C100150,21,West,Life,Agent,7,32134,1904.93,0,0.0,4.0,1
C100151,67,Central,Home,Online,3,65159,2310.9,0,0.0,2.9,0
C100152,34,West,Auto,Online,4,87854,1416.39,0,0.0,3.3,1
C100153,71,South,Auto,Online,7,65784,1349.24,0,0.0,3.5,1
C100154,35,South,Auto,Branch,5,40129,949.0,0,0.0,2.9,1
C100155,43,East,Health,Online,14,73381,415.67,0,0.0,4.4,1
C100156,56,North,Auto,Agent,5,43556,1686.01,0,0.0,4.1,1
C100157,25,East,Home,Online,7,37029,1683.15,0,0.0,3.6,1
C100158,50,North,Home,Online,4,46034,1128.25,0,0.0,3.6,1
C100159,47,North,Life,Agent,11,41540,682.5,0,0.0,4.5,0
C100160,63,Central,Health,Partner,12,39366,2634.5,0,0.0,3.2,1
C100161,75,West,Home,Agent,9,73992,2037.25,0,0.0,3.1,1
C100162,56,East,Home,Partner,12,42716,1046.72,0,0.0,4.0,1
C100163,41,South,Life,Online,4,23429,1356.54,0,0.0,3.2,0
C100164,41,East,Home,Agent,8,62546,1963.11,0,0.0,3.8,0
C100165,42,Central,Auto,Online,11,34817,686.79,0,0.0,3.4,1
C100166,65,West,Auto,Online,14,35397,1543.32,0,0.0,3.6,1
C100167,36,West,Life,Online,5,64622,1533.06,0,0.0,3.8,1
C100168,27,East,Home,Online,2,38942,1944.93,0,0.0,2.9,0
C100169,37,South,Home,Branch,12,43849,980.59,0,0.0,4.5,1
C100170,19,West,Home,Branch,8,52759,1606.88,0,0.0,3.9,1
C100171,24,Central,Home,Online,0,46846,2272.59,0,0.0,3.5,0
C100172,23,East,Home,Partner,13,44274,960.36,0,0.0,3.1,0
C100173,62,South,Life,Branch,7,18000,1315.22,0,0.0,2.6,0
C100174,59,East,Life,Online,9,48888,1410.57,0,0.0,4.4,1
C100175,58,East,Health,Agent,5,81042,2296.86,0,0.0,3.7,1
C100176,44,Central,Auto,Online,15,63334,1259.27,0,0.0,2.6,0
C100177,59,West,Auto,Branch,6,45241,1073.33,0,0.0,4.0,0
C100178,27,South,Health,Agent,9,60463,1372.14,0,0.0,3.9,1
C100179,70,South,Home,Online,8,63292,390.17,0,0.0,4.9,0
C100180,47,East,Life,Online,15,36843,1075.24,0,0.0,5.0,1
C100181,72,North,Health,Online,9,74629,2105.15,0,0.0,4.1,1
C100182,26,East,Auto,Agent,1,54935,1070.4,1,767.54,4.3,1
C100183,46,Central,Health,Agent,13,46378,1292.9,0,0.0,4.1,0
C100184,58,West,Home,Partner,0,80628,1260.49,0,0.0,3.8,1
C100185,46,South,Health,Online,8,18000,2007.43,0,0.0,3.4,0
C100186,43,West,Auto,Online,5,30835,1309.01,0,0.0,4.3,0
C100187,27,West,Health,Online,7,63549,1621.69,0,0.0,4.0,1
C100188,40,South,Health,Agent,13,64134,2317.07,0,0.0,3.7,1
C100189,31,West,Health,Branch,1,81642,1799.53,0,0.0,4.0,0
C100190,35,West,Home,Partner,0,18000,1760.95,1,4951.68,3.3,1
C100191,57,Central,Life,Branch,14,67457,2441.17,0,0.0,3.0,0
C100192,54,North,Auto,Online,4,29584,1276.84,0,0.0,3.3,0
C100193,53,South,Auto,Partner,7,59540,1278.85,0,0.0,3.6,1
C100194,38,East,Health,Branch,15,50830,2132.84,0,0.0,3.7,0
C100195,73,North,Auto,Online,11,67298,1433.66,0,0.0,4.1,1
C100196,23,East,Health,Partner,10,47763,2896.46,0,0.0,3.7,1
C100197,37,West,Auto,Branch,0,70198,1765.09,1,4051.06,3.8,0
C100198,24,North,Auto,Branch,6,37094,1412.54,0,0.0,4.1,1
C100199,37,East,Home,Agent,8,50534,1213.19,1,9131.36,4.0,1
C100200,73,Central,Auto,Online,1,55470,787.02,0,0.0,2.6,1
C100201,39,East,Home,Branch,10,82181,2697.5,0,0.0,4.0,1
C100202,70,East,Auto,Agent,12,66993,1175.16,0,0.0,4.6,1
C100203,46,East,Auto,Partner,5,55678,1293.04,0,0.0,3.9,1
C100204,58,North,Auto,Online,14,63517,560.49,0,0.0,3.6,1
C100205,44,North,Auto,Agent,14,71551,931.65,1,2732.91,4.0,0
C100206,33,West,Auto,Branch,11,58742,1076.44,0,0.0,4.6,1
C100207,62,South,Home,Agent,5,33546,1325.93,0,0.0,4.2,1
C100208,74,South,Life,Agent,1,63311,901.58,1,4673.92,2.2,1
C100209,33,North,Auto,Branch,11,51490,1733.6,0,0.0,4.2,1
C100210,63,Central,Auto,Branch,8,45646,1684.69,0,0.0,3.9,1
C100211,33,North,Auto,Agent,11,37866,901.96,0,0.0,3.4,1
C100212,59,West,Home,Online,6,62428,2390.43,0,0.0,4.7,1
C100213,63,South,Auto,Agent,2,61216,1333.42,0,0.0,2.9,1
C100214,44,East,Auto,Agent,14,34800,1211.87,0,0.0,4.1,0
C100215,60,South,Life,Branch,15,32090,350.0,0,0.0,4.1,0
C100216,33,North,Life,Branch,12,86049,1451.57,0,0.0,3.6,1
C100217,22,East,Home,Agent,0,67491,1899.22,0,0.0,3.9,0
C100218,23,West,Auto,Online,12,53561,870.42,0,0.0,5.0,0
C100219,43,South,Health,Online,15,62912,2512.42,0,0.0,3.9,0
C100220,70,East,Auto,Online,6,43581,1375.05,0,0.0,3.9,1
C100221,25,East,Home,Agent,8,48897,1581.78,0,0.0,3.7,0
C100222,44,South,Home,Branch,0,52386,1054.22,0,0.0,3.1,1
C100223,58,East,Auto,Partner,9,69357,1089.98,0,0.0,3.8,1
C100224,29,North,Life,Agent,12,26560,2001.81,0,0.0,3.1,1
C100225,59,East,Health,Branch,3,33635,1616.02,0,0.0,3.5,1
C100226,35,North,Home,Agent,10,29955,2658.48,1,2645.33,3.8,1
C100227,64,East,Auto,Agent,4,67356,1141.03,0,0.0,3.7,0
C100228,51,South,Health,Agent,2,50184,2036.15,0,0.0,2.9,1
C100229,49,East,Auto,Agent,0,35505,1271.68,1,6146.82,3.3,0
C100230,28,East,Home,Agent,12,48013,1263.01,0,0.0,4.2,0
C100231,44,Central,Auto,Partner,3,40628,1439.37,0,0.0,3.3,1
C100232,67,East,Auto,Agent,2,26178,1141.57,0,0.0,4.0,0
C100233,19,Central,Home,Online,15,74686,1416.23,0,0.0,3.5,0
C100234,61,South,Home,Agent,11,49312,1724.86,0,0.0,4.5,1
C100235,46,South,Home,Partner,4,75102,1464.39,0,0.0,3.7,1
C100236,59,North,Home,Online,11,25922,1379.05,0,0.0,4.4,1
C100237,56,East,Home,Partner,7,61077,570.89,0,0.0,4.1,1
C100238,43,West,Home,Partner,0,26035,1796.33,1,917.92,4.4,1
C100239,35,Central,Auto,Agent,4,96017,1152.09,0,0.0,4.3,1
C100240,54,East,Auto,Online,12,20870,848.56,1,2072.67,3.8,1
C100241,26,West,Health,Online,11,84328,2158.45,0,0.0,3.8,1
C100242,51,North,Auto,Online,6,51643,1430.71,0,0.0,3.3,1
C100243,23,North,Health,Agent,15,48711,1899.62,0,0.0,3.1,0
C100244,55,West,Health,Branch,8,62608,1602.24,1,792.74,3.1,1
C100245,54,North,Auto,Partner,0,35116,793.88,1,1731.99,2.7,1
C100246,22,North,Home,Online,15,66132,2393.63,0,0.0,3.6,1
C100247,61,Central,Home,Agent,0,67450,1049.53,0,0.0,3.3,1
C100248,42,Central,Health,Agent,14,52214,1963.55,0,0.0,4.2,1
C100249,63,West,Life,Agent,1,56501,2414.25,1,4403.39,3.9,1
C100250,20,South,Auto,Agent,6,86734,1485.82,0,0.0,3.1,1
C100251,28,Central,Auto,Partner,0,63721,1664.24,0,0.0,2.7,1
C100252,46,South,Auto,Agent,11,37920,1651.36,0,0.0,3.4,1
C100253,28,East,Health,Online,4,65510,2089.13,0,0.0,4.0,0
C100254,37,South,Auto,Branch,8,42317,1317.28,0,0.0,2.7,1
C100255,56,Central,Life,Online,3,38832,1714.67,0,0.0,5.0,0
C100256,26,Central,Auto,Partner,13,61228,1406.99,0,0.0,4.0,1
C100257,57,West,Health,Partner,7,33832,1231.12,0,0.0,3.6,1
C100258,23,North,Health,Online,5,52835,1711.31,0,0.0,3.3,1
C100259,28,East,Auto,Agent,0,64128,1034.14,1,245.18,3.9,1
C100260,52,South,Home,Branch,7,86375,1726.36,0,0.0,3.5,1
C100261,64,Central,Home,Agent,11,63490,1426.95,0,0.0,2.9,1
C100262,27,North,Home,Agent,1,25541,1229.91,0,0.0,3.4,0
C100263,35,North,Health,Partner,8,28352,1428.39,0,0.0,4.0,1
C100264,71,West,Health,Online,14,83074,1584.0,0,0.0,4.1,1
C100265,75,East,Health,Agent,13,40583,2393.29,0,0.0,4.4,1
C100266,51,Central,Home,Online,14,24704,1719.34,0,0.0,3.6,1
C100267,43,North,Health,Online,14,33914,1544.59,0,0.0,3.6,0
C100268,38,Central,Health,Partner,4,66294,1358.43,0,0.0,3.6,1
C100269,53,North,Auto,Branch,2,54031,951.49,0,0.0,3.4,1
C100270,52,North,Home,Agent,9,63652,1660.83,0,0.0,4.0,1
C100271,35,East,Auto,Online,11,51406,1442.83,0,0.0,3.5,0
C100272,19,South,Life,Partner,6,32149,922.5,0,0.0,3.3,0
C100273,26,East,Auto,Online,3,19830,859.13,0,0.0,3.9,1
C100274,73,North,Health,Agent,2,36977,1257.45,0,0.0,3.9,1
C100275,42,North,Auto,Online,8,54192,1243.34,0,0.0,3.4,0
C100276,45,West,Auto,Agent,0,30696,1297.81,0,0.0,3.6,1
C100277,45,South,Auto,Agent,10,69692,1577.2,0,0.0,4.4,1
C100278,63,West,Home,Agent,13,33999,1282.3,0,0.0,5.0,1
C100279,21,West,Auto,Agent,13,22265,1221.99,1,3488.61,4.1,0
C100280,22,North,Auto,Agent,4,52012,1612.43,0,0.0,3.6,0
C100281,33,West,Auto,Branch,1,65693,1127.66,0,0.0,3.5,1
C100282,46,South,Auto,Agent,8,78866,1142.01,0,0.0,4.2,0
C100283,56,South,Life,Partner,11,22988,2397.17,0,0.0,4.0,1
C100284,46,North,Health,Online,14,77626,1371.1,0,0.0,3.9,1
C100285,43,Central,Home,Online,1,55336,1032.7,0,0.0,2.9,1
C100286,72,East,Health,Online,0,40822,1957.09,0,0.0,4.0,1
C100287,27,East,Health,Online,2,64255,1680.92,0,0.0,4.0,1
C100288,51,Central,Home,Agent,8,76397,1954.07,0,0.0,3.5,1
C100289,49,South,Auto,Online,2,21777,1564.98,0,0.0,4.2,1
C100290,45,Central,Life,Online,15,44243,1412.52,0,0.0,4.4,0
C100291,64,West,Health,Online,5,42196,2158.65,0,0.0,3.3,1
C100292,33,Central,Auto,Agent,12,63268,1095.63,0,0.0,4.1,1
C100293,73,Central,Life,Branch,5,78281,1831.02,0,0.0,4.5,1
C100294,37,Central,Auto,Agent,3,53321,350.0,0,0.0,4.0,1
C100295,49,North,Life,Partner,1,46741,1102.9,1,1720.95,3.8,0
C100296,48,West,Life,Online,3,60016,2605.2,0,0.0,3.5,1
C100297,67,Central,Auto,Agent,12,47779,1394.79,0,0.0,3.6,1
C100298,43,West,Auto,Online,12,18000,1394.13,0,0.0,4.1,0
C100299,34,South,Home,Branch,10,61306,1779.33,0,0.0,3.9,0
C100300,19,Central,Auto,Online,1,69742,1047.4,0,0.0,3.2,1
C100301,39,South,Home,Partner,5,71327,1065.69,1,2936.3,3.7,1
C100302,65,East,Auto,Branch,9,31192,1422.89,0,0.0,3.9,1
C100303,18,East,Auto,Agent,14,62929,1374.98,0,0.0,3.2,1
C100304,69,North,Health,Agent,3,79590,1956.17,0,0.0,4.0,1
C100305,49,West,Home,Agent,2,97551,1765.81,0,0.0,3.3,1
C100306,26,North,Home,Online,13,60621,2011.61,0,0.0,4.0,0
C100307,35,West,Health,Partner,7,69709,2218.92,0,0.0,3.4,0
C100308,50,Central,Auto,Branch,6,34133,1506.16,0,0.0,3.6,1
C100309,36,South,Health,Online,6,31779,2419.3,0,0.0,3.8,1
C100310,24,West,Auto,Online,6,69772,753.55,0,0.0,4.0,1
C100311,56,North,Auto,Online,7,18000,930.34,0,0.0,2.9,0
C100312,56,Central,Auto,Branch,12,54796,1552.52,0,0.0,4.1,1
C100313,24,Central,Health,Agent,11,77751,1487.3,0,0.0,4.3,1
C100314,34,North,Auto,Branch,1,64827,1191.36,0,0.0,2.9,1
C100315,32,West,Auto,Online,2,64709,1779.41,0,0.0,4.6,0
C100316,56,East,Home,Partner,9,51110,1691.65,0,0.0,4.7,0
C100317,60,East,Auto,Online,13,44622,1070.64,0,0.0,2.5,1
C100318,60,West,Life,Online,15,90786,1372.35,0,0.0,3.1,0
C100319,72,East,Auto,Partner,14,74206,1223.5,0,0.0,4.7,1
C100320,62,West,Auto,Branch,10,67233,1621.18,0,0.0,3.5,0
C100321,36,South,Life,Agent,3,52501,1500.52,0,0.0,3.1,0
C100322,24,South,Health,Partner,1,41486,2370.56,0,0.0,4.0,1
C100323,53,Central,Home,Online,11,71433,1573.33,0,0.0,3.4,1
C100324,71,North,Health,Online,14,46476,2146.1,0,0.0,4.0,1
C100325,74,East,Auto,Online,6,53417,910.96,0,0.0,4.8,1
C100326,31,North,Home,Online,2,63082,1634.02,0,0.0,2.9,1
C100327,31,Central,Health,Branch,11,55770,2647.14,0,0.0,3.9,1
C100328,20,East,Health,Agent,5,79900,1472.82,0,0.0,3.1,1
C100329,26,East,Auto,Agent,10,28241,751.93,0,0.0,4.4,1
C100330,50,South,Auto,Branch,2,53212,1369.47,0,0.0,3.7,1
C100331,49,East,Auto,Online,5,90485,1653.91,1,1915.12,4.0,1
C100332,39,Central,Home,Online,11,68147,1161.56,0,0.0,3.7,1
C100333,35,East,Auto,Agent,13,48453,1528.44,0,0.0,4.5,0
C100334,66,East,Life,Branch,4,66379,1589.5,1,1814.86,2.8,0
C100335,44,West,Auto,Agent,12,51141,753.91,0,0.0,4.3,1
C100336,64,South,Health,Partner,4,78395,1015.27,0,0.0,4.6,0
C100337,73,East,Auto,Partner,11,66783,1803.95,0,0.0,4.5,1
C100338,36,South,Home,Branch,6,36403,1758.9,0,0.0,4.5,0
C100339,29,North,Home,Branch,11,56291,1118.33,0,0.0,3.5,0
C100340,73,West,Health,Agent,4,59535,2420.84,1,3095.28,3.7,1
C100341,54,Central,Health,Partner,1,60426,1938.32,0,0.0,4.8,1
C100342,34,Central,Home,Agent,12,57737,1229.47,0,0.0,4.5,1
C100343,54,Central,Auto,Agent,0,62165,1820.23,0,0.0,4.3,1
C100344,47,East,Health,Online,8,59542,1627.78,0,0.0,4.2,1
C100345,70,South,Home,Branch,0,39019,1043.41,0,0.0,2.9,0
C100346,32,West,Auto,Agent,8,43783,1626.89,0,0.0,2.6,1
C100347,75,Central,Home,Branch,1,47425,444.63,1,1778.86,4.0,0
C100348,72,West,Home,Partner,2,53720,1297.14,0,0.0,3.5,1
C100349,28,East,Auto,Agent,15,47484,1402.32,0,0.0,4.3,1
C100350,27,West,Auto,Agent,14,71852,1027.22,0,0.0,3.6,1
C100351,48,West,Health,Online,7,34718,642.97,0,0.0,3.8,0
C100352,20,Central,Home,Agent,5,20777,1350.22,0,0.0,3.2,1
C100353,35,West,Health,Branch,11,87403,2300.78,0,0.0,3.0,1
C100354,43,East,Health,Online,6,37285,2001.97,0,0.0,5.0,0
C100355,74,South,Auto,Agent,2,71807,1522.33,0,0.0,3.6,1
C100356,75,East,Auto,Agent,3,62955,1953.23,0,0.0,3.8,0
C100357,26,South,Auto,Online,9,37919,1667.41,0,0.0,4.7,0
C100358,69,Central,Auto,Online,15,49607,1978.33,0,0.0,4.7,1
C100359,23,East,Auto,Online,10,46925,820.28,0,0.0,3.7,1
C100360,61,East,Auto,Branch,9,58415,1337.34,0,0.0,3.7,0
C100361,67,South,Health,Online,12,38186,1568.5,0,0.0,3.7,1
C100362,69,West,Health,Online,0,48823,1576.23,0,0.0,3.7,1
C100363,30,East,Auto,Agent,9,51329,1135.29,0,0.0,3.9,1
C100364,69,North,Health,Branch,3,71833,2109.6,0,0.0,3.8,0
C100365,24,Central,Auto,Branch,6,44600,1842.37,1,11025.36,4.1,1
C100366,48,South,Health,Agent,7,34438,2064.74,0,0.0,3.4,1
C100367,45,East,Life,Agent,11,42195,1761.64,0,0.0,3.4,1
C100368,36,South,Health,Branch,3,58607,1340.47,0,0.0,3.3,1
C100369,19,East,Auto,Partner,15,20111,1239.33,0,0.0,4.4,0
C100370,62,West,Auto,Agent,9,73552,1178.08,1,1434.91,3.6,1
C100371,37,Central,Home,Branch,5,52354,1810.93,0,0.0,4.7,1
C100372,56,North,Auto,Online,4,59798,1474.27,0,0.0,4.0,0
